Timestamp,Transcript
0:35:39,"Highlighting ""Homeland Illumination"""
0:35:45,"Highlighting ""Elian Karel. age 28. died Friday while unlawfully incarcerated at the Abila City Prison"""
0:36:02,"Adding more notes in Note 1: ""June, 2009 - Elian dies in jail"""
0:36:57,Still reading the document
0:37:27,"Adding more notes in Note 1: ""Juliana Vann, friend of Elian Keral dies because of water contaminations"""
0:38:07,Still reading the document
0:38:41,"Adding more notes in Note 1: ""Elian dies in jail, signs of trauma blunt abrasion and lacerations - possibly police brutality"""
0:39:14,Back to reading the document
0:39:16,"""So. polices probably killed Elian in jail which was expected"""
0:39:24,Making connection between two documents about Elian's death
0:39:35,User changed the topic: (Getting information on POK protests) [bottom-up]
0:39:41,"Reading a document in title ""June 2010. Protest of POK to the registered offices of police force of Abila"""
0:40:23,"Highlighting ""Then the teargas finally got clear. the member of six POK were stopped on expenses of attack on civil authorities and to incite a crowd with violence. """
0:40:37,"Highlighting ""Silvia Marek """
0:40:42,"Highlighting ""Carman d' Adrien"""
0:40:43,"""Ok. I found this guy again."""
0:40:54,"Searching for ""Carman"""
0:41:15,"Picking a document in title ""May 2011. Police Hold News Conference on GAStech Kidnapping"""
0:41:36,back to reading the first document
0:42:17,"Picking a document in title ""Jan 2014. Conference of news of catch of police force on the kidnapping of GAStech Worldwise Conference"""
0:42:49,Looking through titles
0:42:52,"Picking a document in title "" Aug 1998. OLD WOMEN MATRICES OF GIRL Of ELODIS OF POISONING"""
0:43:17,Making connection between this document and Elian's group
0:43:36,"Picking a document in title ""June 2010. Protest of POK to the registered offices of police force of Abila"""
0:43:53,"Adding more notes in Note 1: ""June 2010 - POK protest of police offices in Abila, civilian attacked, several officers injured, 6 POK members arrested"""
0:44:35,"""I need more infomation about this protest"""
0:44:49,"Searching for ""2010"""
0:44:49,User changed the topic: (Looking for people in POK protest) [bottom-up]
0:44:56,"Picking a document in title ""Jun 2010. THE GOVERNMENT RESPONDS TO ANOTHER REDONDO OF PROTESTS"""
0:45:02,"Picking a document in title ""June 2010. GOVERNMENT RESPONDS TO ANOTHER ROUND OF PROTESTS """
0:45:35,Still reading the document
0:46:04,"Adding more notes to Note 1: ""6 POK members beaten and arrested"""
0:46:13,Making connection between this document and the one about police
0:46:43,"Picking a document in title ""March 2010. The race of boat stopped before starting"""
0:46:55,User changed the topic: (Searching boat disappearance) [bottom-up]
0:47:28,Still reading the document
0:48:05,"Highlighting ""Petra Hohimae"""
0:48:13,"Highlighting ""The presidential boat. had by the family of the President running Karel Kapelou II of Kronos. started to take water and slowly disappeared in the sea"""
0:48:27,"Highlighting ""comprise their white emblem of hand. It is not known if the group were implied incident of boat. although the group is largely recognized like becoming increasingly violent in their protests against the government."""
0:48:48,"Adding more notes to the Note 1: ""March 2010 - """
